CustomerNo;FirstName;LastName;Email;CountryID
17490;Customer17490;User;customer17490@mail.com;1
13069;Customer13069;User;customer13069@mail.com;1
12433;Customer12433;User;customer12433@mail.com;2
13426;Customer13426;User;customer13426@mail.com;1
17364;Customer17364;User;customer17364@mail.com;1
14441;Customer14441;User;customer14441@mail.com;1
16446;Customer16446;User;customer16446@mail.com;1
17389;Customer17389;User;customer17389@mail.com;1
17001;Customer17001;User;customer17001@mail.com;1
15694;Customer15694;User;customer15694@mail.com;1
17428;Customer17428;User;customer17428@mail.com;1
16954;Customer16954;User;customer16954@mail.com;1
15492;Customer15492;User;customer15492@mail.com;1
12423;Customer12423;User;customer12423@mail.com;3
12518;Customer12518;User;customer12518@mail.com;4
14051;Customer14051;User;customer14051@mail.com;1
16558;Customer16558;User;customer16558@mail.com;1
17497;Customer17497;User;customer17497@mail.com;1
14498;Customer14498;User;customer14498@mail.com;1
15344;Customer15344;User;customer15344@mail.com;1
12985;Customer12985;User;customer12985@mail.com;1
15910;Customer15910;User;customer15910@mail.com;1
17754;Customer17754;User;customer17754@mail.com;1
14422;Customer14422;User;customer14422@mail.com;1
14446;Customer14446;User;customer14446@mail.com;1
18102;Customer18102;User;customer18102@mail.com;1
16626;Customer16626;User;customer16626@mail.com;1
12662;Customer12662;User;customer12662@mail.com;4
15311;Customer15311;User;customer15311@mail.com;1
16705;Customer16705;User;customer16705@mail.com;1
12526;Customer12526;User;customer12526@mail.com;4
12713;Customer12713;User;customer12713@mail.com;4
17581;Customer17581;User;customer17581@mail.com;1
12748;Customer12748;User;customer12748@mail.com;1
13777;Customer13777;User;customer13777@mail.com;1
15804;Customer15804;User;customer15804@mail.com;1
13113;Customer13113;User;customer13113@mail.com;1
12680;Customer12680;User;customer12680@mail.com;5
14397;Customer14397;User;customer14397@mail.com;1
17315;Customer17315;User;customer17315@mail.com;1
14251;Customer14251;User;customer14251@mail.com;1
13408;Customer13408;User;customer13408@mail.com;1
16523;Customer16523;User;customer16523@mail.com;1
16217;Customer16217;User;customer16217@mail.com;1
14191;Customer14191;User;customer14191@mail.com;1
16219;Customer16219;User;customer16219@mail.com;1
13924;Customer13924;User;customer13924@mail.com;1
17856;Customer17856;User;customer17856@mail.com;1
14520;Customer14520;User;customer14520@mail.com;1
15237;Customer15237;User;customer15237@mail.com;1
17631;Customer17631;User;customer17631@mail.com;1
17677;Customer17677;User;customer17677@mail.com;1
14291;Customer14291;User;customer14291@mail.com;1
12358;Customer12358;User;customer12358@mail.com;6
13436;Customer13436;User;customer13436@mail.com;1
13468;Customer13468;User;customer13468@mail.com;1
15443;Customer15443;User;customer15443@mail.com;1
16238;Customer16238;User;customer16238@mail.com;1
15520;Customer15520;User;customer15520@mail.com;1
15453;Customer15453;User;customer15453@mail.com;1
18210;Customer18210;User;customer18210@mail.com;1
14129;Customer14129;User;customer14129@mail.com;1
16891;Customer16891;User;customer16891@mail.com;1
12256;Customer12256;User;customer12256@mail.com;1
12621;Customer12621;User;customer12621@mail.com;4
12437;Customer12437;User;customer12437@mail.com;5
18109;Customer18109;User;customer18109@mail.com;1
13394;Customer13394;User;customer13394@mail.com;1
14135;Customer14135;User;customer14135@mail.com;1
16442;Customer16442;User;customer16442@mail.com;1
14217;Customer14217;User;customer14217@mail.com;1
15877;Customer15877;User;customer15877@mail.com;1
15187;Customer15187;User;customer15187@mail.com;1
15159;Customer15159;User;customer15159@mail.com;1
17841;Customer17841;User;customer17841@mail.com;1
15214;Customer15214;User;customer15214@mail.com;1
16161;Customer16161;User;customer16161@mail.com;1
14646;Customer14646;User;customer14646@mail.com;7
14698;Customer14698;User;customer14698@mail.com;1
17830;Customer17830;User;customer17830@mail.com;1
13314;Customer13314;User;customer13314@mail.com;1
17436;Customer17436;User;customer17436@mail.com;1
17522;Customer17522;User;customer17522@mail.com;1
16210;Customer16210;User;customer16210@mail.com;1
14719;Customer14719;User;customer14719@mail.com;1
14138;Customer14138;User;customer14138@mail.com;1
17673;Customer17673;User;customer17673@mail.com;1
13954;Customer13954;User;customer13954@mail.com;1
13102;Customer13102;User;customer13102@mail.com;1
16933;Customer16933;User;customer16933@mail.com;1
13860;Customer13860;User;customer13860@mail.com;1
15399;Customer15399;User;customer15399@mail.com;1
13298;Customer13298;User;customer13298@mail.com;1
16892;Customer16892;User;customer16892@mail.com;1
15189;Customer15189;User;customer15189@mail.com;1
17668;Customer17668;User;customer17668@mail.com;1
